Date,Symbol,Tier,Habitat Score,Trigger?,Explanation,Max %,Hit >=10%?
2026-01-23,FDUSDUSDT,Tier B,0.6,YES,Elite Habitat (Tier B) with Trigger: Vol/Range,0.01,NO
2026-01-24,KITEUSDT,Tier A,0.656,NO,Elite Habitat (Tier A) with Not triggered,1.19,NO
2026-01-24,FUSDT,Tier B,0.59,YES,Elite Habitat (Tier B) with Trigger: Mom,7.32,NO
2026-01-24,BARDUSDT,Tier B,0.59,NO,Elite Habitat (Tier B) with Not triggered,2.85,NO
2026-01-24,ALLOUSDT,Tier B,0.581,NO,Elite Habitat (Tier B) with Not triggered,9.35,NO
2026-01-25,KITEUSDT,Tier A,0.665,NO,Elite Habitat (Tier A) with Not triggered,5.0,NO
2026-01-25,0GUSDT,Tier B,0.585,YES,Elite Habitat (Tier B) with Trigger: Vol/Range/Mom,7.92,NO
2026-01-25,TURTLEUSDT,Tier A,0.603,YES,Elite Habitat (Tier A) with Trigger: Range/Mom,26.55,YES
2026-01-25,YBUSDT,Tier B,0.591,YES,Elite Habitat (Tier B) with Trigger: Vol/Range/Mom,1.75,NO
2026-01-26,OPENUSDT,Tier B,0.581,NO,Elite Habitat (Tier B) with Not triggered,13.62,YES
2026-01-26,KITEUSDT,Tier B,0.587,YES,Elite Habitat (Tier B) with Trigger: Vol/Range/Mom,0.08,NO
2026-01-26,FUSDT,Tier A,0.609,NO,Elite Habitat (Tier A) with Not triggered,17.92,YES
2026-01-26,0GUSDT,Tier B,0.584,NO,Elite Habitat (Tier B) with Not triggered,11.78,YES
2026-01-26,MMTUSDT,Tier B,0.581,YES,Elite Habitat (Tier B) with Trigger: Range/Mom,6.49,NO
2026-01-26,YBUSDT,Tier B,0.594,YES,Elite Habitat (Tier B) with Trigger: Mom,2.05,NO
2026-01-26,ALLOUSDT,Tier A,0.628,NO,Elite Habitat (Tier A) with Not triggered,5.39,NO
2026-01-27,MIRAUSDT,Tier B,0.596,YES,Elite Habitat (Tier B) with Trigger: Mom,2.8,NO
2026-01-27,FUSDT,Tier A,0.618,NO,Elite Habitat (Tier A) with Not triggered,1.76,NO
2026-01-27,PAXGUSDT,Tier B,0.585,NO,Elite Habitat (Tier B) with Not triggered,1.15,NO
2026-01-27,KAIAUSDT,Tier B,0.591,NO,Elite Habitat (Tier B) with Not triggered,5.81,NO
2026-01-27,EULUSDT,Tier A,0.619,NO,Elite Habitat (Tier A) with Not triggered,5.13,NO
2026-01-27,TURTLEUSDT,Tier S,0.646,YES,Elite Habitat (Tier S) with Trigger: Vol/Mom,11.74,YES
2026-01-27,ENSOUSDT,Tier B,0.599,YES,Elite Habitat (Tier B) with Trigger: Range/Mom,5.35,NO
2026-01-27,ALLOUSDT,Tier S,0.639,YES,Elite Habitat (Tier S) with Trigger: Mom,2.37,NO
2026-01-28,MIRAUSDT,Tier B,0.591,NO,Elite Habitat (Tier B) with Not triggered,1.64,NO
2026-01-28,KITEUSDT,Tier B,0.583,YES,Elite Habitat (Tier B) with Trigger: Vol/Mom,2.49,NO
2026-01-28,FUSDT,Tier A,0.607,NO,Elite Habitat (Tier A) with Not triggered,3.03,NO
2026-01-28,EULUSDT,Tier A,0.607,NO,Elite Habitat (Tier A) with Not triggered,0.65,NO
2026-01-28,WLFIUSDT,Tier B,0.584,YES,Elite Habitat (Tier B) with Trigger: Mom,7.08,NO
2026-01-28,EURIUSDT,Tier B,0.589,YES,Elite Habitat (Tier B) with Trigger: Mom,0.8,NO
2026-01-28,ENSOUSDT,Tier A,0.636,NO,Elite Habitat (Tier A) with Not triggered,9.21,NO
2026-01-28,NOMUSDT,Tier B,0.589,YES,Elite Habitat (Tier B) with Trigger: Mom,8.72,NO
2026-01-28,ALLOUSDT,Tier A,0.606,NO,Elite Habitat (Tier A) with Not triggered,2.28,NO
2026-01-29,TURTLEUSDT,Tier A,0.606,NO,Elite Habitat (Tier A) with Not triggered,-10.25,NO
2026-01-29,ENSOUSDT,Tier A,0.621,NO,Elite Habitat (Tier A) with Not triggered,0.65,NO
2026-01-29,LINEAUSDT,Tier B,0.595,NO,Elite Habitat (Tier B) with Not triggered,-4.33,NO
2026-01-30,KITEUSDT,Tier A,0.624,NO,Elite Habitat (Tier A) with Not triggered,0.41,NO
2026-01-30,PAXGUSDT,Tier A,0.605,YES,Elite Habitat (Tier A) with Trigger: Mom,-0.99,NO
2026-01-30,TURTLEUSDT,Tier B,0.595,NO,Elite Habitat (Tier B) with Not triggered,-4.22,NO
2026-01-30,ENSOUSDT,Tier A,0.601,NO,Elite Habitat (Tier A) with Not triggered,3.82,NO
2026-01-31,KITEUSDT,Tier S,0.628,YES,Elite Habitat (Tier S) with Trigger: Mom,10.68,YES
2026-01-31,PAXGUSDT,Tier B,0.593,NO,Elite Habitat (Tier B) with Not triggered,-7.48,NO
