Date,Symbol,Matched Tier,Explanation,Max %,Close %,Hit >=10%?
2026-01-06,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),2.52,1.4,NO
2026-01-07,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),0.04,-4.32,NO
2026-01-07,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),0.32,-4.55,NO
2026-01-07,HOTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),1.23,-2.81,NO
2026-01-07,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.05,-3.64,NO
2026-01-08,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),0.52,-1.79,NO
2026-01-08,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.55,-0.33,NO
2026-01-08,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),2.3,0.75,NO
2026-01-08,BANKUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.1,-1.75,NO
2026-01-08,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),0.77,-2.21,NO
2026-01-08,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),2.8,-4.29,NO
2026-01-09,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.33,-2.33,NO
2026-01-09,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),9.0,5.78,NO
2026-01-09,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),0.84,-0.3,NO
2026-01-10,BMTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.78,-1.17,NO
2026-01-10,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),2.84,-0.29,NO
2026-01-10,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),2.84,1.37,NO
2026-01-10,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.37,-0.4,NO
2026-01-10,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.98,1.92,NO
2026-01-11,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.59,-1.3,NO
2026-01-11,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),2.02,-1.12,NO
2026-01-11,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.17,-3.75,NO
2026-01-11,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.37,-2.79,NO
2026-01-11,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.06,-0.88,NO
2026-01-12,SAHARAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),0.43,-4.92,NO
2026-01-12,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.93,-0.45,NO
2026-01-12,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.81,0.32,NO
2026-01-12,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),0.36,-3.33,NO
2026-01-13,SAHARAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.48),5.18,4.2,NO
2026-01-13,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),6.61,5.25,NO
2026-01-13,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),15.86,7.52,YES
2026-01-13,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),37.21,29.82,YES
2026-01-13,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),5.65,4.55,NO
2026-01-14,SAHARAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),3.48,2.47,NO
2026-01-14,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.17,-2.54,NO
2026-01-15,SAHARAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),1.88,-3.47,NO
2026-01-15,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),0.33,-4.07,NO
2026-01-15,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),1.34,-3.67,NO
2026-01-15,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),0.0,-1.36,NO
2026-01-15,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.48),11.93,2.59,YES
2026-01-16,RENDERUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),3.51,0.81,NO
2026-01-16,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),0.57,-0.05,NO
2026-01-16,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),3.2,3.03,NO
2026-01-16,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.72,-0.42,NO
2026-01-17,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),6.77,3.24,NO
2026-01-17,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.13,0.9,NO
2026-01-17,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.07,-0.92,NO
2026-01-17,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.68,-0.23,NO
2026-01-18,SAHARAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.01,-3.82,NO
2026-01-18,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.03,-4.85,NO
2026-01-18,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.33,-3.45,NO
2026-01-18,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.81,-5.2,NO
2026-01-18,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),4.43,-1.87,NO
2026-01-19,SAHARAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),0.0,-3.97,NO
2026-01-19,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.48),1.07,0.85,NO
2026-01-20,SAHARAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),-0.04,-8.02,NO
2026-01-20,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.52,-6.72,NO
2026-01-20,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.25,-2.25,NO
2026-01-20,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.17,-7.05,NO
2026-01-20,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.35,-8.78,NO
2026-01-21,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),6.19,4.23,NO
2026-01-21,MIRAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),4.66,3.05,NO
2026-01-21,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),4.42,3.36,NO
2026-01-21,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),6.1,2.71,NO
2026-01-22,SANDUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),20.17,14.0,YES
2026-01-22,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.49),2.19,-2.81,NO
2026-01-22,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),11.54,9.23,YES
2026-01-22,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.48),2.56,-0.39,NO
2026-01-22,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.48),1.78,-2.44,NO
2026-01-23,VANRYUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.16,-5.81,NO
2026-01-23,RENDERUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),4.29,-0.54,NO
2026-01-23,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),2.82,-0.45,NO
2026-01-23,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.47,-1.34,NO
2026-01-23,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),3.34,-0.64,NO
2026-01-23,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),10.41,6.15,YES
2026-01-24,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.6,-0.28,NO
2026-01-24,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.24,-0.37,NO
2026-01-24,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),4.72,2.65,NO
2026-01-24,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),16.38,2.91,YES
2026-01-24,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),2.5,1.12,NO
2026-01-25,PENDLEUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.79,-8.11,NO
2026-01-25,WUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),2.33,-6.64,NO
2026-01-25,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.51,-5.1,NO
2026-01-25,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),0.62,-4.1,NO
2026-01-25,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.42,-8.42,NO
2026-01-26,WUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),6.05,4.27,NO
2026-01-26,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),4.72,4.49,NO
2026-01-26,SANDUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),6.15,2.15,NO
2026-01-26,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),4.27,2.46,NO
2026-01-27,WUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),0.34,-2.73,NO
2026-01-27,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.44,-1.76,NO
2026-01-27,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.94,-1.53,NO
2026-01-27,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),3.16,-1.26,NO
2026-01-27,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.79,-3.71,NO
2026-01-27,HOTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.47,-1.89,NO
2026-01-27,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.66,0.5,NO
2026-01-27,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.61,-1.63,NO
2026-01-28,WUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),2.11,1.75,NO
2026-01-28,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),0.9,0.9,NO
2026-01-28,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),2.63,2.51,NO
2026-01-28,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),4.87,4.61,NO
2026-01-28,SOLVUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),6.46,6.29,NO
2026-01-28,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),3.06,2.67,NO
2026-01-28,BANANAUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),1.42,1.42,NO
2026-01-28,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),2.24,1.62,NO
2026-01-29,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),0.41,-4.08,NO
2026-01-29,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),-2.94,-5.88,NO
2026-01-29,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),-0.5,-4.94,NO
2026-01-29,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),-1.41,-6.37,NO
2026-01-30,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),-3.4,-3.76,NO
2026-01-30,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),-3.12,-4.16,NO
2026-01-30,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.48),-2.34,-2.73,NO
2026-01-30,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),-1.57,-2.09,NO
2026-01-31,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),2.73,0.95,NO
2026-01-31,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),-2.33,-7.46,NO
