
🚀 AUCTIONUSDT TÜM VERİ GEÇMİŞİ TARANIYOR (AHENK ŞABLONU)...

================================================================================
BULUNAN AHENK OLAYLARI (4H < 35 & 1H < 35 & T1)
================================================================================
TARİH        | FİYAT    | 1H_E  | 4H_E  | POTANSİYEL (24H)
27 Mar 21:45 | 17.49    | 26.5  | 26.5  | ** +14.1%**
28 Mar 00:45 | 17.59    | 28.7  | 29.4  | ** +13.5%**
28 Mar 20:15 | 16.85    | 34.4  | 33.1  | ** +13.0%**
01 Apr 22:30 | 15.06    | 33.1  | 32.5  | **  +0.4%**
02 Apr 06:30 | 14.30    | 26.8  | 29.4  | **  +4.1%**
02 Apr 12:15 | 14.29    | 28.7  | 28.1  | **  +4.2%**
04 Apr 14:00 | 12.85    | 33.0  | 27.7  | ** +21.5%**
31 May 03:45 | 9.92     | 25.8  | 30.5  | **  +6.0%**
31 May 10:00 | 10.10    | 33.6  | 28.9  | **  +4.2%**
31 May 12:45 | 10.07    | 34.9  | 28.3  | **  +4.5%**
13 Jun 05:30 | 9.30     | 26.6  | 34.3  | **  +6.6%**
13 Jun 06:45 | 9.30     | 26.3  | 34.3  | **  +6.6%**
13 Jun 11:30 | 9.30     | 27.3  | 31.6  | **  +6.6%**
22 Jun 00:15 | 8.77     | 28.6  | 32.3  | **  +0.9%**
22 Jun 04:15 | 8.59     | 28.1  | 30.6  | **  +0.8%**
22 Jun 10:30 | 8.58     | 29.6  | 29.1  | **  +0.7%**
22 Jun 12:45 | 8.55     | 30.9  | 26.6  | **  +0.5%**
22 Jun 17:45 | 8.15     | 25.0  | 24.8  | **  +6.3%**
22 Jun 20:30 | 8.03     | 25.9  | 25.9  | ** +10.5%**
01 Aug 09:15 | 9.56     | 25.8  | 35.0  | **  +2.4%**
01 Aug 09:30 | 9.57     | 25.8  | 35.0  | **  +2.3%**
25 Sep 19:00 | 8.40     | 31.6  | 34.4  | **  +2.4%**
25 Sep 19:15 | 8.43     | 31.6  | 34.4  | **  +2.0%**
25 Sep 21:45 | 8.32     | 32.5  | 32.5  | **  +3.4%**
10 Oct 23:30 | 5.84     | 20.9  | 32.3  | **  +2.2%**
11 Oct 08:00 | 5.71     | 25.6  | 23.6  | **  +4.4%**
11 Oct 08:15 | 5.78     | 25.6  | 23.6  | **  +3.1%**
11 Oct 15:15 | 5.90     | 32.4  | 22.6  | **  +4.7%**
12 Oct 03:00 | 5.65     | 34.2  | 19.8  | ** +15.0%**
30 Oct 21:15 | 6.21     | 26.5  | 27.2  | **  +6.3%**
21 Nov 12:45 | 5.29     | 29.3  | 33.5  | **  +5.3%**
15 Dec 21:30 | 4.96     | 27.4  | 33.5  | **  +3.0%**
16 Dec 02:15 | 5.00     | 32.7  | 32.6  | **  +2.2%**
17 Dec 23:45 | 4.82     | 34.4  | 31.6  | **  +1.5%**
18 Dec 02:15 | 4.80     | 33.6  | 29.6  | **  +1.9%**
18 Dec 08:30 | 4.74     | 31.6  | 27.1  | **  +3.2%**
19 Jan 16:15 | 5.11     | 31.6  | 33.9  | **  +1.2%**
20 Jan 11:00 | 4.92     | 24.9  | 28.7  | **  +1.6%**
20 Jan 20:15 | 4.88     | 30.6  | 24.6  | **  +2.0%**
21 Jan 00:30 | 4.84     | 33.4  | 26.1  | **  +2.9%**
01 Feb 10:00 | 4.80     | 27.1  | 33.5  | ** +19.2%**
01 Feb 18:45 | 4.55     | 18.5  | 30.6  | ** +25.7%**
01 Feb 22:30 | 4.47     | 16.5  | 29.3  | ** +28.0%**
02 Feb 04:15 | 4.49     | 24.5  | 33.3  | ** +27.4%**

Toplam 138 benzer ahenk yapısı bulundu.
