
🚀 AUCTIONUSDT COMPREHENSIVE SCAN (PHYSICS + VOLUME + ATR)...

====================================================================================================
KAPSAMLI TARAMA SONUÇLARI (MACRO < 45 & RISING | FLARE + 2x VOL)
====================================================================================================
TARİH        | FİYAT    | 1H_E  | ATR%  | VBOY  | V100  | POTANSİYEL     
19 Oct 03:30 | 5.59     | 40.6  | 0.89  | 0.5   | 7     | **  +1.8%**
19 Oct 08:15 | 5.54     | 40.4  | 0.84  | 4.0   | 85    | **  +2.7%**
27 Oct 02:30 | 6.34     | 41.9  | 0.94  | 4.2   | 63    | ** +23.3%**
14 Nov 03:00 | 7.81     | 42.9  | 1.11  | 0.3   | 1     | **  +4.1%**
15 Nov 00:15 | 7.69     | 39.6  | 0.50  | 2.6   | 44    | ** +11.7%**
22 Nov 18:15 | 8.79     | 43.0  | 1.21  | 2.8   | 50    | **  +4.6%**
10 Dec 00:30 | 16.81    | 40.4  | 0.90  | 3.4   | 31    | **  +4.0%**
18 Dec 03:30 | 25.16    | 40.2  | 1.63  | 1.2   | 5     | ** +58.2%**
23 Dec 01:45 | 37.88    | 37.8  | 1.96  | 1.5   | 33    | ** +22.9%**
29 Dec 18:30 | 30.83    | 39.5  | 1.83  | 0.5   | 11    | **  +8.4%**
04 Jan 01:45 | 22.85    | 22.0  | 1.27  | 1.9   | 5     | **  +7.7%**
10 Jan 15:30 | 19.36    | 43.2  | 2.60  | 2.2   | 32    | ** +32.9%**
19 Jan 01:00 | 22.88    | 29.0  | 0.86  | 0.8   | 10    | ** +12.7%**
19 Jan 01:30 | 22.96    | 29.0  | 1.05  | 3.6   | 51    | ** +12.3%**
23 Jan 02:45 | 22.11    | 42.2  | 1.32  | 1.9   | 25    | **  +4.2%**
04 Feb 08:30 | 25.32    | 40.3  | 0.74  | 3.7   | 41    | **  +7.7%**
14 Feb 02:00 | 27.29    | 42.9  | 0.54  | 2.3   | 7     | ** +10.2%**
18 Feb 04:15 | 31.97    | 44.2  | 0.95  | 4.1   | 50    | **  +6.0%**
05 Mar 04:15 | 28.03    | 43.9  | 0.87  | 2.2   | 19    | **  +8.5%**
10 Mar 23:45 | 26.06    | 36.5  | 0.70  | 0.5   | 9     | **  +6.4%**
13 Mar 21:30 | 26.59    | 43.5  | 0.56  | 2.8   | 18    | **  +1.9%**
14 Mar 08:15 | 26.56    | 41.7  | 0.74  | 2.5   | 27    | **  +1.2%**
17 Mar 08:45 | 21.89    | 42.1  | 1.49  | 2.2   | 40    | **  +9.8%**
20 Mar 02:30 | 19.74    | 41.1  | 1.68  | 2.3   | 27    | ** +16.1%**
20 Mar 06:30 | 19.41    | 39.8  | 1.69  | 2.1   | 43    | ** +18.0%**
28 Mar 04:30 | 23.74    | 44.0  | 1.16  | 7.0   | 100   | **  +7.8%**
10 Apr 00:45 | 22.74    | 31.0  | 0.52  | 0.5   | 4     | **  +0.0%**
12 Apr 00:30 | 20.95    | 37.6  | 0.55  | 1.2   | 1     | **  +6.2%**
27 Apr 03:45 | 17.01    | 44.2  | 1.13  | 2.1   | 28    | **  +6.3%**
05 May 07:45 | 16.22    | 40.4  | 0.48  | 2.3   | 28    | **  +4.4%**
07 May 08:15 | 16.19    | 40.6  | 0.56  | 1.2   | 16    | **  +2.1%**
11 May 15:00 | 17.34    | 36.3  | 0.65  | 0.8   | 5     | **  +5.1%**
14 May 18:00 | 14.72    | 41.6  | 1.00  | 2.5   | 69    | **  +2.9%**
15 May 00:15 | 14.53    | 41.9  | 0.56  | 1.2   | 8     | **  +4.7%**
20 May 13:30 | 13.85    | 43.0  | 0.57  | 1.1   | 13    | ** +28.5%**
23 May 08:30 | 16.67    | 40.7  | 0.64  | 0.8   | 6     | **  +1.6%**
23 May 21:30 | 16.65    | 44.8  | 1.44  | 0.6   | 10    | **  +1.4%**
31 May 00:45 | 23.24    | 44.4  | 1.15  | 0.7   | 3     | **  +8.3%**
09 Jun 03:45 | 20.29    | 33.4  | 0.66  | 0.5   | 5     | **  +4.2%**
11 Jun 18:00 | 20.37    | 42.8  | 1.48  | 2.0   | 66    | **  +6.0%**
17 Jun 00:15 | 21.16    | 39.1  | 0.76  | 2.7   | 32    | **  +3.5%**
19 Jun 00:45 | 17.07    | 34.4  | 1.04  | 2.0   | 21    | **  +2.9%**
21 Jun 02:00 | 17.06    | 42.1  | 0.70  | 2.1   | 47    | **  +1.2%**
24 Jun 00:15 | 15.74    | 29.8  | 0.51  | 0.9   | 13    | **  +5.4%**
24 Jun 00:30 | 15.79    | 29.8  | 0.52  | 1.3   | 20    | **  +5.1%**
24 Jun 03:00 | 15.78    | 31.1  | 0.79  | 2.4   | 48    | **  +5.4%**
24 Jun 07:00 | 15.43    | 33.5  | 1.12  | 1.7   | 17    | **  +8.2%**
27 Jun 09:00 | 16.25    | 41.6  | 0.45  | 0.8   | 5     | **  +4.7%**
29 Jun 07:15 | 16.10    | 34.8  | 0.36  | 1.2   | 6     | **  +0.4%**
30 Jun 00:15 | 15.82    | 30.5  | 0.49  | 4.6   | 55    | **  +5.3%**
12 Jul 13:15 | 13.85    | 41.4  | 0.68  | 0.6   | 4     | **  +3.0%**
25 Jul 00:45 | 16.47    | 44.1  | 1.31  | 3.6   | 70    | **  +1.9%**
29 Jul 00:45 | 17.54    | 43.0  | 0.64  | 0.6   | 4     | **  +6.8%**
03 Aug 06:15 | 15.95    | 30.0  | 0.90  | 0.4   | 6     | **  +2.6%**
03 Aug 06:30 | 16.20    | 30.0  | 0.95  | 1.7   | 30    | **  +1.0%**
05 Aug 07:15 | 12.83    | 33.8  | 2.99  | 2.7   | 63    | **  +8.3%**
05 Aug 13:45 | 13.04    | 39.0  | 2.57  | 3.1   | 40    | **  +6.5%**
08 Aug 01:00 | 13.48    | 40.2  | 1.10  | 1.6   | 55    | ** +17.9%**
12 Aug 07:00 | 14.65    | 37.6  | 0.98  | 7.9   | 100   | **  +3.5%**
25 Aug 21:45 | 17.20    | 42.2  | 0.40  | 2.1   | 6     | **  +0.4%**
26 Aug 09:30 | 16.82    | 38.8  | 0.53  | 1.6   | 37    | **  +0.5%**
28 Aug 08:30 | 15.00    | 30.1  | 0.65  | 2.2   | 16    | **  +4.0%**
02 Sep 06:00 | 13.81    | 39.3  | 0.56  | 2.4   | 72    | **  +4.5%**
04 Sep 14:30 | 13.08    | 37.2  | 0.75  | 1.8   | 7     | **  +2.7%**
22 Sep 22:45 | 15.15    | 42.3  | 0.88  | 1.2   | 6     | **  +1.7%**
23 Oct 19:45 | 13.20    | 39.0  | 0.95  | 2.7   | 44    | **  +8.7%**
27 Oct 00:00 | 12.94    | 41.8  | 0.33  | 2.9   | 6     | **  +2.6%**
03 Nov 08:45 | 12.03    | 40.0  | 0.37  | 1.2   | 9     | **  +0.1%**
04 Nov 02:30 | 11.78    | 44.5  | 0.69  | 0.6   | 6     | **  +0.7%**
05 Nov 00:00 | 11.46    | 41.1  | 1.00  | 2.2   | 45    | **  +3.7%**
29 Nov 06:45 | 16.00    | 42.6  | 0.59  | 8.7   | 100   | **  +5.0%**
20 Dec 07:00 | 17.38    | 42.0  | 1.89  | 3.6   | 32    | ** +21.1%**
23 Dec 02:45 | 18.25    | 44.9  | 1.50  | 0.6   | 11    | **  +8.0%**
25 Dec 23:30 | 18.85    | 35.8  | 1.13  | 1.1   | 11    | **  +0.5%**
27 Dec 00:15 | 18.00    | 42.2  | 1.07  | 4.7   | 65    | **  +2.2%**
08 Jan 13:15 | 15.32    | 26.1  | 0.81  | 1.2   | 8     | **  +4.2%**
13 Jan 00:30 | 15.49    | 44.4  | 0.61  | 2.9   | 33    | **  +0.0%**
13 Jan 14:30 | 13.70    | 28.3  | 1.27  | 6.9   | 100   | **  +8.4%**
18 Jan 11:30 | 15.09    | 39.3  | 0.84  | 1.6   | 59    | **  +0.9%**
29 Jan 17:30 | 11.94    | 43.0  | 0.73  | 1.7   | 64    | **  +4.9%**
03 Feb 15:00 | 8.83     | 39.2  | 1.85  | 1.1   | 8     | ** +12.7%**
07 Feb 07:45 | 8.49     | 43.0  | 0.73  | 0.1   | 1     | **  +6.9%**
18 Feb 01:45 | 10.71    | 43.7  | 0.65  | 5.7   | 100   | ** +10.6%**
28 Feb 02:30 | 15.05    | 40.8  | 1.23  | 6.0   | 100   | **  +0.9%**
04 Mar 14:15 | 11.46    | 31.5  | 1.14  | 1.0   | 9     | **  +8.8%**
04 Mar 14:30 | 11.71    | 31.5  | 1.33  | 6.8   | 90    | **  +6.5%**
24 Mar 02:15 | 21.16    | 22.2  | 3.26  | 2.2   | 42    | **  +6.5%**
26 Mar 09:30 | 19.61    | 44.7  | 0.78  | 0.6   | 5     | **  +0.7%**
27 Mar 08:30 | 18.89    | 43.8  | 0.83  | 1.0   | 20    | **  +5.7%**
28 Mar 00:45 | 17.59    | 28.7  | 1.01  | 2.7   | 47    | ** +13.5%**
30 Mar 15:30 | 16.88    | 39.6  | 0.93  | 2.6   | 57    | **  +1.8%**
31 Mar 13:45 | 15.93    | 39.9  | 1.47  | 2.2   | 92    | **  +3.3%**
02 Apr 18:15 | 14.40    | 36.2  | 1.44  | 0.7   | 16    | **  +3.4%**
13 Apr 23:30 | 12.16    | 39.7  | 0.99  | 0.7   | 20    | **  +2.8%**
15 Apr 07:00 | 12.00    | 43.2  | 0.43  | 0.5   | 5     | **  +2.8%**
15 Apr 20:45 | 11.91    | 41.3  | 0.59  | 0.9   | 21    | **  +2.7%**
17 Apr 00:00 | 11.27    | 37.0  | 0.75  | 2.1   | 45    | **  +2.1%**
20 Apr 16:00 | 11.25    | 43.1  | 0.55  | 2.0   | 39    | **  +3.2%**
06 May 22:30 | 10.86    | 36.7  | 0.95  | 0.7   | 11    | **  +3.6%**
15 May 03:15 | 12.86    | 41.1  | 0.67  | 2.5   | 20    | **  +0.4%**
15 May 23:45 | 11.85    | 36.4  | 0.87  | 0.6   | 6     | **  +4.5%**
17 May 17:15 | 11.62    | 42.4  | 0.73  | 0.6   | 13    | **  +4.0%**
17 May 20:45 | 11.68    | 43.9  | 0.73  | 2.5   | 44    | **  +3.5%**
19 May 13:45 | 11.42    | 38.8  | 0.59  | 1.4   | 20    | **  +4.2%**
24 May 10:30 | 11.90    | 42.1  | 0.37  | 3.4   | 5     | **  +1.8%**
25 May 02:45 | 11.92    | 43.4  | 0.72  | 2.8   | 73    | **  +1.6%**
28 May 22:00 | 11.67    | 38.7  | 0.53  | 0.2   | 2     | **  +2.6%**
31 May 10:00 | 10.10    | 33.6  | 0.83  | 0.7   | 3     | **  +4.2%**
12 Jun 12:30 | 10.40    | 34.0  | 0.52  | 1.8   | 24    | **  +0.5%**
18 Jun 04:00 | 9.43     | 43.5  | 0.36  | 0.5   | 1     | **  +1.8%**
22 Jun 00:15 | 8.77     | 28.6  | 1.15  | 0.6   | 10    | **  +0.9%**
22 Jun 10:30 | 8.58     | 29.6  | 0.67  | 0.8   | 7     | **  +0.7%**
22 Jun 12:45 | 8.55     | 30.9  | 0.73  | 2.2   | 22    | **  +0.5%**
22 Jun 20:30 | 8.03     | 25.9  | 1.09  | 1.4   | 17    | ** +10.5%**
26 Jun 01:15 | 8.91     | 42.6  | 0.38  | 3.4   | 25    | **  +2.2%**
27 Jun 01:30 | 8.71     | 39.9  | 0.47  | 0.5   | 2     | **  +3.0%**
30 Jun 16:00 | 8.93     | 39.8  | 0.72  | 1.5   | 12    | **  +0.8%**
06 Jul 11:00 | 8.75     | 42.9  | 0.42  | 4.9   | 71    | **  +4.8%**
19 Jul 18:30 | 10.68    | 42.9  | 0.37  | 0.3   | 4     | **  +6.6%**
02 Aug 20:30 | 9.46     | 40.1  | 0.79  | 0.3   | 6     | **  +3.4%**
05 Aug 23:00 | 9.70     | 40.2  | 0.46  | 2.1   | 24    | **  +2.6%**
14 Aug 22:00 | 9.79     | 28.7  | 0.61  | 1.0   | 1     | **  +4.2%**
20 Aug 15:00 | 9.70     | 44.7  | 0.80  | 2.3   | 52    | **  +2.3%**
22 Aug 07:00 | 9.62     | 43.6  | 0.36  | 2.5   | 47    | **  +7.0%**
22 Aug 14:15 | 9.69     | 42.0  | 0.97  | 6.3   | 94    | **  +6.6%**
26 Aug 12:45 | 9.63     | 43.1  | 0.62  | 3.7   | 28    | **  +8.2%**
29 Aug 12:30 | 9.78     | 38.2  | 0.58  | 6.8   | 100   | **  +2.0%**
29 Aug 19:30 | 9.70     | 35.0  | 0.49  | 2.2   | 14    | **  +3.7%**
26 Sep 00:00 | 8.33     | 35.1  | 0.68  | 1.4   | 12    | **  +3.2%**
26 Sep 08:15 | 8.46     | 44.2  | 0.58  | 6.1   | 80    | **  +1.7%**
28 Sep 13:00 | 8.35     | 38.0  | 0.34  | 2.5   | 20    | **  +3.1%**
30 Sep 10:45 | 8.40     | 40.4  | 0.33  | 5.6   | 46    | **  +1.9%**
05 Oct 02:30 | 8.61     | 41.5  | 0.40  | 9.9   | 71    | **  +1.9%**
06 Oct 06:00 | 8.53     | 43.8  | 0.34  | 0.5   | 5     | **  +1.9%**
08 Oct 00:30 | 8.37     | 37.5  | 0.40  | 4.1   | 19    | **  +1.8%**
08 Oct 14:00 | 8.35     | 41.0  | 0.46  | 2.7   | 25    | **  +2.0%**
09 Oct 17:45 | 8.21     | 40.4  | 0.61  | 0.8   | 19    | **  +1.6%**
11 Oct 08:00 | 5.71     | 25.6  | 1.14  | 0.7   | 2     | **  +4.4%**
12 Oct 03:00 | 5.65     | 34.2  | 0.90  | 1.4   | 26    | ** +15.0%**
14 Oct 14:00 | 6.33     | 38.6  | 0.86  | 0.9   | 7     | **  +7.3%**
16 Oct 10:00 | 6.39     | 40.9  | 0.75  | 2.3   | 33    | **  +1.3%**
21 Oct 14:00 | 7.96     | 34.0  | 1.79  | 0.8   | 10    | ** +11.8%**
22 Oct 02:45 | 7.70     | 34.7  | 1.82  | 1.3   | 35    | ** +15.6%**
23 Oct 00:00 | 8.01     | 41.2  | 1.24  | 8.8   | 61    | **  +3.2%**
24 Oct 12:45 | 7.68     | 42.2  | 1.27  | 0.8   | 12    | **  +3.5%**
27 Oct 16:00 | 7.14     | 40.0  | 0.88  | 3.1   | 91    | **  +3.4%**
29 Oct 19:00 | 6.94     | 42.6  | 1.19  | 0.4   | 5     | **  +4.3%**
03 Nov 22:45 | 6.35     | 32.7  | 0.81  | 0.9   | 2     | **  +7.2%**
04 Nov 22:15 | 6.13     | 37.9  | 1.84  | 0.5   | 4     | **  +3.4%**
12 Nov 08:15 | 6.52     | 45.0  | 0.36  | 1.0   | 9     | **  +1.2%**
13 Nov 03:15 | 6.39     | 39.6  | 0.74  | 2.4   | 49    | **  +1.1%**
14 Nov 07:00 | 6.14     | 40.2  | 1.08  | 2.2   | 32    | **  +6.0%**
14 Nov 13:00 | 6.07     | 43.3  | 0.84  | 0.6   | 4     | **  +7.2%**
22 Nov 11:30 | 5.33     | 43.3  | 0.82  | 0.3   | 4     | **  +3.0%**
02 Dec 07:30 | 5.45     | 41.8  | 0.43  | 1.0   | 5     | **  +6.4%**
06 Dec 01:30 | 5.49     | 39.1  | 0.39  | 0.7   | 2     | **  +2.7%**
06 Dec 06:15 | 5.54     | 43.2  | 0.37  | 3.0   | 10    | **  +1.8%**
06 Dec 06:30 | 5.56     | 43.2  | 0.36  | 1.1   | 4     | **  +1.4%**
16 Dec 10:30 | 5.08     | 42.0  | 0.37  | 2.3   | 16    | **  +0.6%**
18 Dec 02:15 | 4.80     | 33.6  | 0.30  | 0.7   | 9     | **  +1.9%**
19 Dec 03:00 | 4.64     | 39.6  | 0.51  | 1.7   | 10    | **  +6.9%**
22 Dec 06:30 | 4.91     | 42.1  | 0.33  | 2.1   | 10    | **  +1.8%**
26 Dec 02:30 | 5.00     | 41.7  | 0.49  | 0.4   | 7     | **  +1.2%**
30 Dec 00:00 | 4.97     | 39.6  | 0.23  | 2.3   | 6     | **  +0.8%**
09 Jan 15:45 | 5.43     | 42.9  | 0.61  | 0.7   | 11    | **  +8.7%**
11 Jan 16:30 | 5.49     | 41.0  | 0.34  | 1.4   | 3     | **  +0.2%**
12 Jan 14:45 | 5.32     | 35.1  | 0.43  | 0.3   | 4     | **  +3.0%**
21 Jan 00:30 | 4.84     | 33.4  | 0.52  | 2.2   | 24    | **  +2.9%**
27 Jan 14:15 | 6.12     | 40.6  | 1.06  | 2.2   | 15    | ** +10.8%**
29 Jan 17:15 | 5.88     | 41.3  | 1.25  | 3.1   | 39    | ** +10.9%**
02 Feb 04:15 | 4.49     | 24.5  | 1.38  | 0.8   | 26    | ** +27.4%**

Toplam 232 vaka bulundu.
